Sweet (Hop) Leaf IPA. Bring On The Jalapeño Fire Water IPA,American IPA,5.89,120.8,10.05 °L
Juicy IPA - Mosaic/Citra/Cascade,American IPA,6.31,47.41,4.12 °L
Bavarian Hefeweizen,Weizen/Weissbier,4.65,10.04,3.13 °L
Dunkel,Munich Dunkel,4.48,22.21,17.8 °L
Timothy Taylor's Landlord Clone,Standard/Ordinary Bitter,3.7,29.12,7.32 °L
Festivus Miracle! (Christmas Ale Clone),Winter Seasonal Beer,8.26,30.6,12.44 °L
Old Chub,Strong Scotch Ale,7.4,35.07,22.39 °L
Sierra Nevada Pale Ale Clone Small Batch,American IPA,5.54,42.24,10.33 °L
Tad Heavy Scotch Ale,Strong Scotch Ale,8.27,33.91,20.47 °L
Belgian Grand Cru Two,Belgian Specialty Ale,5.93,15.94,3.1 °L
Tripel Karmeliet Original 17th Century Recipe,Belgian Tripel,9.02,35.41,4.54 °L
Firestone Walker Easy Jack NZ,American IPA,4.77,33.3,4.61 °L
Morning Bell,Cream Ale,5.45,9.1,4.48 °L
Sack Mead Polish,Sweet Mead,18.52,0,5.67 °L
Blueberry Gose,Gose,5.59,8.24,3.86 °L
Aaron's First Brew,American Wheat or Rye Beer,4.6,23.32,4.05 °L
Willamette SMaSH IPL,Classic American Pilsner,6.82,28.43,4.3 °L
Southern Tier 2X IPA Clone,American IPA,8.74,88.31,7.01 °L
AHS Wit Adaption,Witbier,5.66,8.79,4 °L
Belgian Golden With Honey,Belgian Golden Strong Ale,10.67,17.66,9.1 °L
Grant & Chet's Big Basin Amber Ale,American Amber Ale,5,49.22,18.48 °L
Imperial Pils,German Pilsner (Pils),8.08,30.55,4.28 °L
Zoe Clone,American Amber Ale,7.43,71.83,17.55 °L
Mosaic Pale Ale,American Pale Ale,4.96,36.03,9.08 °L
Marzen For Mike,Oktoberfest/Märzen,5.11,23.25,11.15 °L
Operation Blue Oktober,Oktoberfest/Märzen,6.11,22.78,14.36 °L
Bragawd,Braggot,11.57,0,11.69 °L
Milkshake IPA,American IPA,6.35,47.45,4.87 °L
Trooper ESB,Extra Special/Strong Bitter (ESB),5.15,95.44,11.28 °L
#3 - Ginger,Spice Herb or Vegetable Beer,6.75,16.02,7.17 °L
Southern Pecan Nut Brown,Mild,4.26,16.45,15.65 °L
Motueka IPA,American IPA,6.33,73.3,5.86 °L
Christmas Beeracle,Old Ale,8.59,49.51,35.08 °L
Russian Imperial Stout For Barrel 2,Russian Imperial Stout,8.74,81.5,40 °L
Warlock Imperial Pumpkin Stout Clone,Imperial Stout,9.56,33.92,37.68 °L
Brugze Zot Clone,Belgian Blond Ale,6.62,22.05,6 °L
AMERICAN PORTER,American Porter,6.17,40.05,39.59 °L
Pussy Beer Summer Ale,Cream Ale,5.14,16.4,3.1 °L
Pussy Beer Summer Ale,Cream Ale,5.14,16.4,3.1 °L
Cream Ale,Cream Ale,4.76,18.79,3.82 °L
Bavarian Hefeweizen,Weissbier,5.05,13.19,3.7 °L
Bavarian Doppelbock EIP,Doppelbock,7.65,25.17,18.44 °L
K2 - Sommer ØL Vestbrygg Konk,Kölsch,4.95,72.17,5.02 °L
Blueberry Porter,Robust Porter,6.46,27.74,50 °L
Pilsner,German Pilsner (Pils),5.46,62.5,3.31 °L
Sol Cerveza Clone,International Pale Lager,4.29,5.91,2.47 °L
18: Sour Blonde Ale,Mixed-Fermentation Sour Beer,4.4,6.73,4.82 °L
PBP - Elvis' Peanut Butter Porter,Robust Porter,7.28,37.44,39.54 °L
